compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_15378	CHEBI_15378	2070	0	
Compound::CHEBI_15377	CHEBI_15377	1156	6	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; amphiprotic solvent; greenhouse gas; human metabolite; mouse metabolite
Compound::CHEBI_30616	CHEBI_30616	976	3	cofactor; fundamental metabolite; human metabolite
Compound::CHEBI_456216	CHEBI_456216	861	2	fundamental metabolite; human metabolite
Compound::CHEBI_43474	CHEBI_43474	569	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_18420	CHEBI_18420	547	1	cofactor
Compound::CHEBI_29999	CHEBI_29999	501	0	
Compound::CHEBI_30013	CHEBI_30013	477	0	
Compound::CHEBI_83421	CHEBI_83421	460	0	
Compound::CHEBI_61977	CHEBI_61977	447	0	
Compound::CHEBI_29105	CHEBI_29105	316	2	cofactor; human metabolite
Compound::CHEBI_29035	CHEBI_29035	260	1	cofactor
Compound::CHEBI_29108	CHEBI_29108	217	2	cofactor; human metabolite
Compound::CHEBI_15379	CHEBI_15379	212	8	Saccharomyces cerevisiae metabolite; anti-inflammatory drug; food packaging gas; human metabolite; micronutrient; nutrient; oxidising agent; reagent
Compound::CHEBI_46858	CHEBI_46858	209	0	
Compound::CHEBI_57287	CHEBI_57287	205	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_82620	CHEBI_82620	201	0	
Compound::CHEBI_33019	CHEBI_33019	196	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57540	CHEBI_57540	183	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen acceptor
Compound::CHEBI_59789	CHEBI_59789	147	1	cofactor
Compound::CHEBI_58349	CHEBI_58349	134	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen acceptor
Compound::CHEBI_57856	CHEBI_57856	134	0	
Compound::CHEBI_16526	CHEBI_16526	132	12	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; anaesthetic; antagonist; food packaging gas; food propellant; greenhouse gas; human metabolite; mouse metabolite; refrigerant; solvent; vasodilator agent
Compound::CHEBI_57783	CHEBI_57783	128	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen donor
Compound::CHEBI_456215	CHEBI_456215	127	3	cofactor; fundamental metabolite; human metabolite
Compound::CHEBI_58223	CHEBI_58223	126	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_29969	CHEBI_29969	123	0	
Compound::CHEBI_57945	CHEBI_57945	121	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen donor
Compound::CHEBI_29033	CHEBI_29033	113	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; mouse metabolite
Compound::CHEBI_57379	CHEBI_57379	107	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57692	CHEBI_57692	104	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_58189	CHEBI_58189	98	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_37565	CHEBI_37565	98	1	human metabolite
Compound::CHEBI_7896	CHEBI_7896	94	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_28938	CHEBI_28938	84	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; cofactor; human metabolite
Compound::CHEBI_16810	CHEBI_16810	81	3	Saccharomyces cerevisiae metabolite; algal metabolite; human metabolite
Compound::CHEBI_29950	CHEBI_29950	78	0	
Compound::CHEBI_57288	CHEBI_57288	77	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_32395	CHEBI_32395	75	1	human metabolite
Compound::CHEBI_30823	CHEBI_30823	75	3	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; plant metabolite
