task,model,variant,metric,n,mean,std,delta_M_vs_fixsplit,p_welch_M_vs_fixsplit,source_log
DTI,rgcn,v2,AUROC,3,0.77867,0.04389,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,AUPRC,3,0.781,0.0477,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,MRR,3,0.06033,0.04239,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,Hits@1,3,0.03655,0.0336,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,Hits@3,3,0.05511,0.0459,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,Hits@10,3,0.09699,0.05844,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,M,3,0.49227,0.04412,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,warm_MRR,3,0.06533,0.04636,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,warm_M,3,0.5074,0.04868,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,best_epoch,3,296.66667,2.88675,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,rgcn,v2,train_time_sec,3,38.26667,0.30551,,,e0_DTI_rgcn_v2_20260916_154626.log
DTI,distmult,v2_lr0.01,AUROC,3,0.496,0.016,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,AUPRC,3,0.49933,0.01626,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,MRR,3,0.00367,0.00058,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,Hits@1,3,0.00042,0.00036,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,Hits@3,3,0.00077,0.00032,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,Hits@10,3,0.00413,0.00049,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,M,3,0.3004,0.00982,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,warm_MRR,3,0.003,0.0,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,warm_M,3,0.30167,0.00329,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,best_epoch,3,103.33333,170.31833,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.01,train_time_sec,3,21.3,22.08506,,,e0_DTI_distmult_v2_lr0.01_20260916_154005.log
DTI,distmult,v2_lr0.03,AUROC,3,0.54567,0.10275,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,AUPRC,3,0.56533,0.12749,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,MRR,3,0.02633,0.03955,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,Hits@1,3,0.01394,0.02359,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,Hits@3,3,0.02731,0.04549,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,Hits@10,3,0.04335,0.0689,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,M,3,0.3458,0.08734,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,warm_MRR,3,0.02833,0.04388,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,warm_M,3,0.35313,0.0922,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,best_epoch,3,103.33333,170.31833,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.03,train_time_sec,3,21.4,22.34435,,,e0_DTI_distmult_v2_lr0.03_20260916_154125.log
DTI,distmult,v2_lr0.1,AUROC,3,0.78267,0.01137,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,AUPRC,3,0.81067,0.01358,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,MRR,3,0.12433,0.04441,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,Hits@1,3,0.08074,0.04395,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,Hits@3,3,0.12633,0.04656,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,Hits@10,3,0.21225,0.04522,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,M,3,0.53053,0.02525,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,warm_MRR,3,0.13667,0.04856,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,warm_M,3,0.55193,0.02832,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,best_epoch,3,230.0,116.94016,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,distmult,v2_lr0.1,train_time_sec,3,54.26667,6.47019,,,e0_DTI_distmult_v2_lr0.1_20260916_154327.log
DTI,popularity,baseline,AUROC,1,0.665,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,AUPRC,1,0.683,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,MRR,1,0.041,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,Hits@1,1,0.01387,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,Hits@3,1,0.03445,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,Hits@10,1,0.08803,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,M,1,0.4226,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,warm_MRR,1,0.044,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,warm_M,1,0.431,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,best_epoch,0,,,,,e0_DTI_popularity_baseline_20260916_153958.log
DTI,popularity,baseline,train_time_sec,1,0.0,0.0,,,e0_DTI_popularity_baseline_20260916_153958.log
